,Down-welling long wave radiation,Up-welling long wave radiation,Down-welling short wave radiation,Up-welling short wave radiation,Latent heat flux,Sensible heat flux,Soil heat flux,Ecosystem respiration ,Gross Primary Productivity,Net Ecosystem Exchange,Net Ecosystem Productivity,"Rainfall, 30 minute total",Relative humidity,Absolute humidity,Soil water fraction,Air temperature,Soil temperature,Vapour pressure deficit,Wind direction,Wind speed
,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,umol/m2/s,umol/m2/s,umol/m2/s,umol/m2/s,mm,%,g/m3,frac,C,C,kPa,deg,m/s
xlDateTime,Fld,Flu,Fsd,Fsu,Fe,Fh,Fg,ER,GPP,NEE,NEP,Precip,RH,Ah,Sws,Ta,Ts,VPD,Wd,Ws
04/01/2019 00:00,365.2656,420.429,-3.724393,0.7124278,-1.2466,0.0931,-13.84943688,3.9556,0,3.9556,-3.9556,0,89.33681822,16.97299,0.097412995,21.62926,25.03948,0.275528701,250.4307126,1.250527652
04/01/2019 00:30,364.0894,419.1548,-3.349399,1.216591,-2.5252,0.9738,-15.24559351,3.736,0,3.736,-3.736,0,89.5774826,16.74447,0.097244855,21.34819,24.96059,0.264717739,239.4999866,1.164029135
04/01/2019 01:00,361.9926,417.8534,-3.633637,0.8811414,-3.0678,0.5862,-14.90533682,3.6371,0,3.6371,-3.6371,0,88.9632654,16.56794,0.09712849,21.28395,24.89034,0.279216781,265.4462085,1.142016305
04/01/2019 01:30,360.9452,415.7919,-3.49719,0.8864797,-5.7763,1.3511,-14.85307085,3.3324,0,3.3324,-3.3324,0,92.0604242,16.68287,0.097012255,20.81313,24.82532,0.195138602,246.188902,0.937183749
04/01/2019 02:00,360.7533,414.5739,-3.407214,1.029452,-2.5407,3.1632,-13.72236072,3.1406,0,3.1406,-3.1406,0,92.70294358,16.52657,0.09681824,20.53178,24.77663,0.176266241,228.5044401,1.211785247
04/01/2019 02:30,377.2441,414.8979,-2.757812,1.031569,0.4503,1.8434,-16.40804832,3.1121,0,3.1121,-3.1121,0,91.95928088,16.46831,0.096714675,20.60946,24.70307,0.195162087,255.5192525,1.10409655
04/01/2019 03:00,410.6676,417.9866,-0.8738309,0.3610518,6.9332,-1.1658,-20.6533196,3.1126,0,3.1126,-3.1126,0,91.89623279,16.66023,0.09666325,20.82048,24.58589,0.199264162,265.6368798,0.957484603
04/01/2019 03:30,405.5074,418.4608,-0.8452965,0.2601073,2.0249,-2.304,-19.64637261,2.9245,0,2.9245,-2.9245,0,92.57770226,16.62528,0.096688795,20.6573,24.47384,0.18068361,280.1331657,0.704716069
04/01/2019 04:00,412.6424,419.736,-0.169426,0.4078848,0.92,-4.0718,-13.29019967,2.9298,0,2.9298,-2.9298,0,92.69635523,16.74582,0.096650205,20.75949,24.42257,0.178917263,227.0600823,0.485160786
04/01/2019 04:30,402.7019,419.9693,-0.8168306,0.5178799,-0.1135,-5.556,-12.14442888,2.9497,0,2.9497,-2.9497,0,92.75163128,16.87369,0.096624455,20.88014,24.37681,0.178885802,227.1498196,0.656014212
04/01/2019 05:00,408.9443,420.9193,1.421253,0.6045129,4.7542,-6.0645,-9.890816362,3.0311,0,3.0311,-3.0311,0,92.56417529,17.04029,0.096611455,21.0843,24.35062,0.185828243,273.2864477,0.912582232
04/01/2019 05:30,407.7797,423.1999,19.62488,2.531161,7.2587,-0.4648,-11.0601403,3.0671,12.10380661,-9.036706614,9.036706614,0,91.22154366,16.93539,0.096534085,21.22987,24.30851,0.221349875,253.4586724,0.841776405
04/01/2019 06:00,414.9644,425.8804,47.07213,5.091391,15.3355,7.0293,-13.7584816,5.1674,5.800659966,-0.633259966,0.633259966,0,89.60052671,16.93423,0.09659879,21.53864,24.23202,0.267229786,238.9627536,0.877683191
04/01/2019 06:30,415.6938,428.7828,96.96592,10.31627,27.3622,23.45,-13.14462885,5.1918,9.644111877,-4.452311877,4.452311877,0,88.23411143,16.88606,0.09666333,21.75551,24.15258,0.306375945,256.0759093,0.951937831
04/01/2019 07:00,412.7783,431.6631,172.5513,18.3637,43.7639,50.057,-7.870796066,5.2187,8.872668299,-3.653968299,3.653968299,0,87.09840814,16.83886,0.096715065,21.93172,24.1167,0.339580941,265.6562597,0.967892431
04/01/2019 07:30,420.0664,434.8735,195.5013,20.35588,43.1646,56.0455,-1.522617788,5.3019,9.167949205,-3.866049205,3.866049205,0,84.12982536,16.63952,0.096805785,22.32767,24.13328,0.427909976,229.1172272,0.285339963
04/01/2019 08:00,415.2805,440.8108,346.5774,35.03841,79.9376,108.3293,1.042523074,5.4902,13.65776857,-8.167568567,8.167568567,0,79.27634959,16.52851,0.09690916,23.24942,24.16198,0.590865865,44.53699645,0.50616159
04/01/2019 08:30,390.837,448.2545,601.0223,62.57831,132.3976,199.9157,-7.571613598,5.532,14.83882739,-9.306827386,9.306827386,0,78.21222387,16.5848,0.097103285,23.54653,24.07527,0.632435455,327.3768466,0.654025452
04/01/2019 09:00,390.907,459.9911,772.0801,76.01716,168.858,254.637,-0.109559952,4.6035,16.66045034,-12.05695034,12.05695034,0,72.4604104,16.68456,0.097594715,25.00375,24.02165,0.872302148,92.07471816,0.407197942
04/01/2019 09:30,398.2817,468.5552,848.638,82.72934,189.4308,283.7397,23.88030067,4.7774,14.66612428,-9.888724283,9.888724283,0,68.33370541,16.54296,0.098021355,25.89845,24.1757,1.057723822,31.54666614,0.517465855
04/01/2019 10:00,406.5904,478.6059,919.0106,88.60659,212.0999,308.9924,35.84017694,1.9797,17.74102501,-15.76132501,15.76132501,0,64.45010894,16.60343,0.098150755,27.01702,24.43779,1.268325258,36.56101778,0.963306857
04/01/2019 10:30,410.2621,485.125,980.4239,93.38284,230.3244,340.5892,49.89752447,3.3434,6.416054126,-3.072654126,3.072654126,0,60.44135019,15.97668,0.098358065,27.48307,24.80601,1.450393433,104.1755773,1.134919897
04/01/2019 11:00,417.123,495.5287,1025.441,95.14735,240.5483,359.5309,60.67230657,3.2644,12.56941995,-9.305019949,9.305019949,0,54.59570151,15.48621,0.098436,28.76905,25.24094,1.794028812,54.21446606,0.831716189
04/01/2019 11:30,420.5854,503.0116,1061.121,98.63608,256.2131,376.2079,37.29216292,5.0378,12.55672803,-7.518928032,7.518928032,0,48.53293402,14.50537,0.09868216,29.73056,25.39756,2.149553745,28.01139566,1.541355565
04/01/2019 12:00,424.7789,511.726,1078.415,99.28314,252.0565,378.9733,-2.870654622,5.2497,9.877088734,-4.627388734,4.627388734,0,41.95884954,13.21423,0.09877259,30.70016,25.08946,2.562530274,76.11844748,1.176340236
04/01/2019 12:30,430.5363,520.6357,1080.52,99.88859,247.9984,377.0844,73.33961631,5.8322,6.082626857,-0.250426857,0.250426857,0,40.25111891,13.55858,0.099239435,31.95749,25.55984,2.833179755,105.4030974,1.008855359
04/01/2019 13:00,436.7276,530.6357,1064.953,98.05962,246.6034,377.4416,74.71212549,5.572,5.247365168,0.324634832,-0.324634832,0,34.77659492,12.72468,0.100289,33.52021,26.04161,3.376681551,86.67578167,0.917764188
04/01/2019 13:30,438.3172,533.706,1036.332,95.73563,238.5951,371.8416,22.80205443,5.753,5.472746083,0.280253917,-0.280253917,0,29.67196253,11.19734,0.100443045,34.10833,26.00605,3.762322253,91.13495729,0.676174016
04/01/2019 14:00,441.7067,538.7537,994.1138,92.38533,233.4137,351.2764,1.597167514,6.0222,6.049370794,-0.027170794,0.027170794,0,25.89697375,10.28186,0.10001493,35.08141,25.77092,4.183990986,85.92883847,1.029038029
04/01/2019 14:30,445.2851,543.0233,934.687,87.06775,217.2474,321.4155,9.318378988,6.3739,3.830012785,2.543887215,-2.543887215,0,24.3773131,10.32113,0.099315875,36.32366,25.63965,4.571644395,99.02340386,0.792336631
04/01/2019 15:00,448.1895,542.4482,858.7019,80.65858,205.8862,297.8248,29.63528463,4.4739,1.529396117,2.944503883,-2.944503883,0,25.24744329,10.87486,0.098399375,36.6578,25.74058,4.602352743,85.39701787,1.245210493
04/01/2019 15:30,449.8668,543.1387,774.1607,72.96796,186.7527,265.0637,40.68755285,4.6538,1.892518922,2.761281078,-2.761281078,0,25.29479246,11.36576,0.09770253,37.48328,25.9596,4.810845983,87.17218285,1.044228919
04/01/2019 16:00,449.2274,542.4781,677.4104,63.99822,172.6362,233.536,42.87236858,4.8415,2.676440931,2.165059069,-2.165059069,0,23.78740992,11.04901,0.097238325,38.13469,26.18454,5.084121562,49.94307985,1.462043042
04/01/2019 16:30,452.6949,537.4083,566.5692,54.44323,149.5103,189.8116,55.56432198,5.1823,3.552004821,1.630295179,-1.630295179,0,30.3001914,13.73179,0.097032695,37.6509,26.52164,4.5295063,79.77718492,1.710880197
04/01/2019 17:00,445.3249,526.4431,454.7465,46.39259,123.2237,145.826,37.09266858,5.3559,4.227387228,1.128512772,-1.128512772,0,37.0903537,15.91493,0.096723365,36.58331,26.64264,3.857484136,86.94765184,2.035688807
04/01/2019 17:30,437.6351,517.3902,341.1378,36.10503,92.6807,103.6826,6.730609397,5.2229,4.072005294,1.150894706,-1.150894706,0,37.18983684,15.3573,0.09623207,35.83946,26.44305,3.697595636,82.77880038,1.88758848
04/01/2019 18:00,430.375,507.9388,216.4379,23.46155,60.6144,58.2378,25.27545781,5.9016,3.518435908,2.383164092,-2.383164092,0,39.59471016,15.56272,0.095740605,34.88783,26.48407,3.374291492,88.61566209,1.749093211
04/01/2019 18:30,424.5012,495.6001,46.52116,3.764761,17.6137,-1.8937,29.77338312,5.0681,1.404900343,3.663199657,-3.663199657,0,42.91474621,15.74135,0.09523645,33.56729,26.61409,2.963144664,76.34971038,1.374928672
04/01/2019 19:00,422.6024,485.0985,8.914962,1.213139,5.1261,-15.6015,9.893413768,4.867349314,0,4.867349314,-4.867349314,0,47.94026078,16.40499,0.094784085,32.25357,26.56849,2.510191814,97.12622534,1.046283506
04/01/2019 19:30,420.2972,477.62,-1.295435,0.7757499,6.8433,-17.6593,5.136925975,2.263236272,0,2.263236272,-2.263236272,0,51.4597278,16.7389,0.09437082,31.30287,26.50636,2.217874377,121.7664479,1.436681237
04/01/2019 20:00,420.3483,472.1967,-3.692729,0.6417934,0.1352,-19.0061,1.214886917,4.3184,0,4.3184,-4.3184,0,54.46129581,17.0354,0.0940477,30.57372,26.43122,1.996084754,87.76664927,0.898225336
04/01/2019 20:30,420.8415,467.6324,-3.242476,0.7695405,-3.8637,-19.8243,-5.048224737,4.2002,0,4.2002,-4.2002,0,57.36480487,17.34008,0.09373754,29.93957,26.31246,1.802187845,24.7487306,0.541666876
04/01/2019 21:00,426.9044,464.9564,-2.665781,0.3585512,2.543,-18.9528,-6.163446449,5.0205,0,5.0205,-5.0205,0,60.37625043,17.68369,0.093517905,29.35767,26.20033,1.619772229,49.61679553,0.999299162
04/01/2019 21:30,419.0549,462.4077,-3.096231,0.5138005,-3.6114,-19.6108,-6.079306779,4.8195,0,4.8195,-4.8195,0,62.56984019,17.8325,0.093362725,28.85601,26.10213,1.486413659,77.84191423,0.67284323
04/01/2019 22:00,413.0445,458.9751,-3.178987,1.056813,-9.6556,-19.7073,-3.619626895,4.697,0,4.697,-4.697,0,63.16006406,17.71807,0.09313032,28.56616,26.04042,1.438621422,198.1642007,0.24445875
04/01/2019 22:30,410.341,456.3251,-2.885701,1.229917,-3.0771,-18.361,-4.326615772,4.6509,0,4.6509,-4.6509,0,63.17422572,17.65916,0.09297515,28.50115,25.98168,1.432656978,164.0219889,0.837078774
04/01/2019 23:00,405.0651,451.2127,-3.709296,0.2488493,-4.202,-15.7492,-4.623748902,6.9268,0,6.9268,-6.9268,0,70.56109626,18.34933,0.092820335,27.18696,25.92927,1.060817167,251.1063088,0.928806393
04/01/2019 23:30,404.004,449.0458,-2.697475,1.112548,-1.9823,-13.7223,-6.353531064,6.8468,0,6.8468,-6.8468,0,69.97847238,17.99961,0.09265254,26.98891,25.86769,1.069323126,198.218129,1.118162621
